subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1067P,R1067P,YC1,,0,0,0,0,0
R1067P,R1067P,catFR1,,0,0,1,0,0
R1067P,R1067P,catFR1,,1,1,1,0,0
R1067P,R1067P,catFR2,,0,0,1,0,0
R1068J,R1068J,FR1,,0,,1,0,0
R1068J,R1068J,FR1,,1,,1,0,0
R1068J,R1068J,FR1,,2,,1,0,0
R1068J,R1068J,PS1,PS,0,4,1,0,0
R1068J,R1068J,PS2,PS,0,5,1,0,0
R1068J,R1068J,PS2,PS,1,7,1,0,0
R1068J,R1068J,YC1,,0,0,0,0,0
R1068J,R1068J,YC1,,1,1,0,0,0
R1069M,R1069M,FR1,,0,,1,0,0
R1069M,R1069M,FR2,,0,0,1,0,0
R1069M,R1069M,PAL1,,0,0,1,0,0
R1069M,R1069M,PS1,PS,0,1,1,0,0
R1069M,R1069M,PS2,PS,0,2,1,0,0
R1069M,R1069M,PS3,PS,0,3,1,0,0
R1069M,R1069M,YC1,,0,0,0,0,0
R1069M,R1069M,YC2,,0,0,0,0,0
R1069M,R1069M,catFR1,,0,,1,0,0
R1069M,R1069M,catFR2,,0,0,1,0,0
R1070T,R1070T,FR1,,0,0,1,0,0
R1070T,R1070T,FR1,,1,,1,0,0
R1070T,R1070T,FR1,,2,2,1,0,0
R1070T,R1070T,FR2,,0,0,1,0,0
R1070T,R1070T,PS1,PS,0,1,1,0,0
R1070T,R1070T,PS1,PS,1,2,1,0,0
R1073J,R1073J,PS1,PS,0,2,1,0,0
R1073J,R1073J,PS1,PS,1,5,1,0,0
R1073J,R1073J,PS3,PS,0,3,1,0,0
R1073J,R1073J,PS3,PS,1,6,1,0,0
R1073J,R1073J,YC1,,0,0,0,0,0
R1074M,R1074M,FR1,,0,0,1,0,0
R1074M,R1074M,FR2,,0,0,1,0,0
R1074M,R1074M,PAL1,,0,0,1,0,0
R1074M,R1074M,PAL2,,0,0,1,0,0
R1074M,R1074M,PS1,PS,0,1,1,0,0
R1074M,R1074M,PS1,PS,1,5,1,0,0
R1074M,R1074M,PS1,PS,2,10,1,0,0
R1074M,R1074M,PS2,PS,0,2,1,0,0
R1074M,R1074M,PS2,PS,1,7,1,0,0
